ip_address,ip_type,service,region
13.71.194.64/27,IPv4,EventHub.WestCentralUS,westcentralus
13.78.149.209/32,IPv4,EventHub.WestCentralUS,westcentralus
13.78.150.233/32,IPv4,EventHub.WestCentralUS,westcentralus
20.69.3.0/24,IPv4,EventHub.WestCentralUS,westcentralus
40.67.123.0/24,IPv4,EventHub.WestCentralUS,westcentralus
52.161.19.160/32,IPv4,EventHub.WestCentralUS,westcentralus
52.161.24.64/32,IPv4,EventHub.WestCentralUS,westcentralus
57.151.152.128/26,IPv4,EventHub.WestCentralUS,westcentralus
172.215.202.128/26,IPv4,EventHub.WestCentralUS,westcentralus
2603:1030:b04::240/122,IPv6,EventHub.WestCentralUS,westcentralus
2603:1030:b04:1::600/120,IPv6,EventHub.WestCentralUS,westcentralus
2603:1030:b04:402::1c0/123,IPv6,EventHub.WestCentralUS,westcentralus
